,acronym,projectUrl,foundProjectUrl1,MatchScore1,Same Web Resource,Same Site
83,COEXIST,http://www.coexistproject.eu/,http://www.cmrc.ie/projects/coexist-(interaction-in-coastal-waters-a-roadmap-to-sustainable-integration-of-aquaculture-and-fisheries).html,0.0,0,
84,TREAT OA,http://www.treatoa.eu/,http://www.treatoa.eu/wp-content/uploads/2013/09/treatoa_poster.pdf,0.0,0,
85,RAPTOR,http://www.raptor-project.eu/,http://www.ict.fraunhofer.de/content/dam/ict/en/documents/media/es/ES_Gasgeneratorgest%C3%BCtzte_Schutzvorrichtung_V01-1_en.pdf,0.0,0,
86,OCMOL,http://www.ocmol.eu/,http://www.ocmol.eu/uploads/media/OCMOL_brochure.pdf,0.0,0,
87,MEDEO,http://www.medeo-eu-ru.org/,http://www.medeo-eu-ru.org/,100.0,1,
88,SPWRT,http://spacewire-rt.org/,http://spacewire-rt.org/,100.0,1,
89,THESEUS,http://www.theseus-eu.org/,http://www.theseus-eu.org/,100.0,1,
90,HIVOCOMP,http://www.hivocomp.eu/,http://hivocomp.eu/,100.0,1,
91,NEUGENE,http://www.neugene.eu/,http://ec.europa.eu/research/health/biotechnology/new-therapies/projects-fp7-gt_en.html,0.0,0,
92,INTRICATE,http://www.intricate.eu/,http://www.intricate.eu/,100.0,1,
93,EUROCANPLATFORM,http://eurocanplatform.eu/,http://eurocanplatform.eu/news/5702-eurocanplatform-translational-cancer-research-summer-course--portugal--october-20-24--2014.php,0.0,0,
94,NAFISPACK,http://www.nafispack.com/,http://www.nafispack.com/,100.0,1,
95,SELECT-AND-ACT,http://www.neuro.ki.se/selact/site/,http://ec.europa.eu/research/health/medical-research/brain-research/projects/select-and-act_en.html,0.0,0,
96,OPTISTEM,http://www.optistem.org/,http://www.optistem.org/our-research/clinical-applications,49.0,0,1
97,AEGOS,http://www.aegos-project.org/index.php,http://www.aegos-project.org/,83.0,1,
98,ACOBAR,http://acobar.nersc.no/,http://www.nersc.no/project/acobar,0.0,0,
99,HELIOS,http://helios-fp7.eu/,https://ec.europa.eu/programmes/horizon2020/en/news/cleaner-natural-gas-engines-ships,0.0,0,
100,ZF-CANCER,http://www.science.leidenuniv.nl/index.php/ibl/mcb/research_themes/zf_cancer,http://ec.europa.eu/research/health/medical-research/cancer/fp7-projects/zf-cancer_en.html,0.0,0,
101,IDEAS,http://www.ideasconsortium.eu/,http://www.efeo.fr/base.php?code=400,0.0,0,
102,WILCO,http://www.wilcoproject.eu/,http://www.wilcoproject.eu/,99.0,1,
