original-uri,memento-closest,memento-first,memento-last,timegate_uri
http://www.promerc.eu/,http://web.archive.org/web/20141118205951/http://www.promerc.eu/,http://web.archive.org/web/20141118205951/http://www.promerc.eu/,http://web.archive.org/web/20160315172716/http://www.promerc.eu/,http://timetravel.mementoweb.org/timegate/http://www.promerc.eu/
http://www.fibrotargets.eu/,http://web.archive.org/web/20160111173658/http://fibrotargets.eu/,http://web.archive.org/web/20160111173658/http://fibrotargets.eu/,http://web.archive.org/web/20160314010004/http://fibrotargets.eu/,http://timetravel.mementoweb.org/timegate/http://www.fibrotargets.eu/
http://syrtoproject.eu/,http://web.archive.org/web/20140928135608/http://syrtoproject.eu/,http://web.archive.org/web/20140928135608/http://syrtoproject.eu/,http://web.archive.org/web/20160111085525/http://syrtoproject.eu/,http://timetravel.mementoweb.org/timegate/http://syrtoproject.eu/
http://irena.aalto.fi/,http://web.archive.org/web/20150324033641/http://irena.aalto.fi/,http://web.archive.org/web/20150324033641/http://irena.aalto.fi/,http://web.archive.org/web/20160210211144/http://irena.aalto.fi/,http://timetravel.mementoweb.org/timegate/http://irena.aalto.fi/
http://www.atheroflux.eu/,http://web.archive.org/web/20140706203240/http://www.atheroflux.eu/,http://web.archive.org/web/20140706203240/http://www.atheroflux.eu/,http://web.archive.org/web/20160306031546/http://atheroflux.eu/,http://timetravel.mementoweb.org/timegate/http://www.atheroflux.eu/
http://www.culprit-shock.eu/,http://web.archive.org/web/20150524035551/http://www.culprit-shock.eu/,http://web.archive.org/web/20150524035551/http://www.culprit-shock.eu/,http://web.archive.org/web/20160224161216/http://www.culprit-shock.eu/,http://timetravel.mementoweb.org/timegate/http://www.culprit-shock.eu/
http://www.glass-project.eu/,http://web.archive.org/web/20130829210302/http://glass-project.eu,http://web.archive.org/web/20130829210302/http://glass-project.eu,http://web.archive.org/web/20160306052530/http://glass-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.glass-project.eu/
http://www.advise-project.eu/,http://web.archive.org/web/20130520203511/http://advise-project.eu/,http://web.archive.org/web/20120602075942/http://www.advise-project.eu/,http://web.archive.org/web/20160308070041/http://advise-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.advise-project.eu/
http://www.vuelco.net/,http://web.archive.org/web/20130404024649/http://www.vuelco.net/,http://web.archive.org/web/20031027164123/http://vuelco.net/,http://web.archive.org/web/20160306072746/http://vuelco.net/,http://timetravel.mementoweb.org/timegate/http://www.vuelco.net/
http://eurocondor.eu/,http://web.archive.org/web/20130517190449/http://eurocondor.eu,http://web.archive.org/web/20130517190449/http://eurocondor.eu,http://web.archive.org/web/20160308072614/http://eurocondor.eu/,http://timetravel.mementoweb.org/timegate/http://eurocondor.eu/
http://www.ecomise.eu/,http://web.archive.org/web/20140517173043/http://www.ecomise.eu/,http://web.archive.org/web/20140517173043/http://www.ecomise.eu/,http://web.archive.org/web/20160308042831/http://ecomise.eu/,http://timetravel.mementoweb.org/timegate/http://www.ecomise.eu/
http://www.videosense.eu/,http://web.archive.org/web/20130103022852/http://www.videosense.eu/,http://web.archive.org/web/20111216173723/http://www.videosense.eu/,http://web.archive.org/web/20160123013014/http://www.videosense.eu/,http://timetravel.mementoweb.org/timegate/http://www.videosense.eu/
http://health-gradient.eu/,http://webarchive.parliament.uk/20121202165627/http://health-gradient.eu/,http://web.archive.org/web/20100924125525/http://www.health-gradient.eu/,http://web.archive.org/web/20160306012008/http://health-gradient.eu/,http://timetravel.mementoweb.org/timegate/http://health-gradient.eu/
http://www.incomproject.eu/,http://web.archive.org/web/20140517142001/http://www.incomproject.eu/,http://web.archive.org/web/20140517142001/http://www.incomproject.eu/,http://web.archive.org/web/20150815102824/http://www.incomproject.eu/,http://timetravel.mementoweb.org/timegate/http://www.incomproject.eu/
http://www.bami-fp7.eu/,http://web.archive.org/web/20130516193236/http://bami-fp7.eu,http://web.archive.org/web/20130516193236/http://bami-fp7.eu,http://web.archive.org/web/20160314102322/http://bami-fp7.eu/,http://timetravel.mementoweb.org/timegate/http://www.bami-fp7.eu/
http://www.crestar-project.eu/,http://web.archive.org/web/20121009002534/http://www.crestar-project.eu/,http://web.archive.org/web/20121009002534/http://www.crestar-project.eu/,http://web.archive.org/web/20160312033430/http://crestar-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.crestar-project.eu/
http://www.wakeup-stroke.eu/,http://web.archive.org/web/20130519034313/http://www.wakeup-stroke.eu/,http://web.archive.org/web/20120504140741/http://www.wakeup-stroke.eu/,http://web.archive.org/web/20160313121145/http://wakeup-stroke.eu/,http://timetravel.mementoweb.org/timegate/http://www.wakeup-stroke.eu/
http://surprise-project.eu/,http://arquivo.pt/wayback/wayback/20141125162950/http://www.surprise-project.eu/,http://arquivo.pt/wayback/wayback/20141125162950/http://www.surprise-project.eu/,https://archive.is/20150603221617/http://surprise-project.eu/,http://timetravel.mementoweb.org/timegate/http://surprise-project.eu/
http://abc4eu.com/,http://web.archive.org/web/20140902083506/http://abc4eu.com/,http://web.archive.org/web/20140902083506/http://abc4eu.com/,http://web.archive.org/web/20160310004956/http://abc4eu.com/,http://timetravel.mementoweb.org/timegate/http://abc4eu.com/
http://www.hercules-c.com/,http://web.archive.org/web/20121018210101/http://www.hercules-c.com/,http://web.archive.org/web/20120213062545/http://www.hercules-c.com/,http://web.archive.org/web/20160313065258/http://hercules-c.com/,http://timetravel.mementoweb.org/timegate/http://www.hercules-c.com/
http://www.sophy-project.eu/,http://web.archive.org/web/20130319071124/http://www.sophy-project.eu/,http://web.archive.org/web/20130319071124/http://www.sophy-project.eu/,http://web.archive.org/web/20160311215107/http://sophy-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.sophy-project.eu/
